Case Number,Date,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Species,Investigator or Source,pdf,href formula,original order,Date_alterated
2016.09.18.c,2016-09-18 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,minor injury to thigh,N,,"Orlando Sentinel, 9/19/2016",2016.09.18.c-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf,5993,No
2016.09.18.b,2016-09-18 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,lacerations to hands,N,,"Orlando Sentinel, 9/19/2016",2016.09.18.b-Luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf,5992,No
2016.09.18.a,2016-09-18 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,lacerations to lower leg,N,,"Orlando Sentinel, 9/19/2016",2016.09.18.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf,5991,No
2016.09.17,2016-09-17 00:00:00,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,struck by fin on chest & leg,N,,"The Age, 9/18/2016",2016.09.17-Angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf,5990,No
2016.09.15,2016-09-15 00:00:00,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,no injury: knocked off board by shark,N,2 m shark,"The Age, 9/16/2016",2016.09.16-BellsBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf,5989,No
2016.09.15.R,2016-09-15 00:00:00,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,,shark rammed boat. no injury to occupant,N,,"West Australian, 9/15/2016",2016.09.15.R-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf,5988,No
2016.09.11,2016-09-11 00:00:00,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,minor injury to arm,N,3' to 4' shark,"News4Jax, 9/11/2016",2016.09.11-PonteVedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf,5987,No
2016.09.07,2016-09-07 00:00:00,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,severe lacerations to shoulder & forearm,N,"Tiger shark, 10?","Hawaii News Now, 9/7/2016",2016.09.07-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf,5986,No
2016.09.06,2016-09-06 00:00:00,Unprovoked,NEW CALEDONIA,North Province,Koumac,Surfing,M,fatal,Y,,"TVANouvelles, 9/6/2016",2016.09.06-Jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf,5985,No
2016.09.05.b,2016-09-05 00:00:00,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boarding,F,lacerations & punctures to lower right leg,N,,"C. Creswell, GSAF",2016.09.05.b-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf,5984,No
2016.09.05.a,2016-09-05 00:00:00,Unprovoked,AUSTRALIA,Western Australia,Injidup,Surfing,M,"no inury, board broken in half by shark",N,,"Perth Now, 9/5/2016",2016.09.05.a-Penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf,5983,No
2016.09.04,2016-09-04 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,foot bitten,N,,"Orlando Sentinel, 9/7/2016",2016.09.04-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf,5982,No
2016.09.01,2016-09-01 00:00:00,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,two toes broken & lacerated,N,White shark,"R. Collier, GSAF",2016.09.01-McQuillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf,5981,No
2016.08.29.b,2016-08-29 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,lacerations to right foot,N,"Bull shark, 6'","News Channel 8, 8/30/16",2016.08.29.b-Cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf,5980,No
2016.08.29.a,2016-08-29 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,minor injury to ankle,N,,"News Channel 8, 8/30/16",2016.08.29.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf,5979,No
