,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Afpak,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
African,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Afternoon Delight,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Afwreck,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes
Agent Orange,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Agent Tangie,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no
Alaska,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Alaska Thunder Grape,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Alaskan Ice,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Alaskan Thunder Fuck,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Albert Walker,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes
Alchemy,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no
