Date,Contrat de travail,Collège,Tranche d'âge,Effectif
2010,Agents au statut,Exécution sédentaires,De 45 à 54 ans,16155
2010,Agents au statut,Cadre,55 ans et plus,1642
2011,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,153
2012,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,3794
2012,Agents au statut,Exécution roulant trains,55 ans et plus,146
2011,Agents au statut,Exécution roulant conduite,50 ans et plus,1100
2010,Agents contractuels,Maîtrise,De 35 à 44 ans,444
2017,Agents contractuels,Maîtrise,De 25 à 34 ans,475
2017,Agents contractuels,Cadre,De 35 à 44 ans,1721
2015,Agents contractuels,Cadre,De 25 à 34 ans,801
2012,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,24
2014,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,109
2014,Agents au statut,Exécution roulant conduite,50 ans et plus,1389
2014,Agents contractuels,Maîtrise,De 35 à 44 ans,1089
2014,Agents au statut,Maîtrise,De 45 à 54 ans,15503
2014,Agents au statut,Maîtrise,De 18 à 24 ans,1003
2016,Agents au statut,Exécution sédentaire,De 25 à 34 ans,17314
2016,Agents au statut,Cadre supérieur,De 35 à 44 ans,275
2013,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,65
2013,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,26
2017,Agents au statut,Exécution sédentaire,De 35 à 44 ans,12747
2017,Agents au statut,Cadre supérieur,De 45 à 54 ans,782
2017,Agents au statut,Cadre supérieur,De 25 à 34 ans,6
2013,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,3559
2012,Agents contractuels,Exécution roulant conduite,55 ans et plus,2
2012,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,805
2014,Agents au statut,Exécution sédentaire,De 25 à 34 ans,17579
2014,Agents au statut,Exécution sédentaires,55 ans et plus,3539
2017,Agents au statut,Exécution sédentaires,55 ans et plus,3099
2016,Agents contractuels,Cadre,55 ans et plus,510
2011,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6679
2011,Agents au statut,Cadre supérieur,De 45 à 54 ans,781
2015,Agents au statut,Exécution sédentaires,De 45 à 54 ans,8294
2015,Agents au statut,Cadre supérieur,55 ans et plus,475
2015,Agents au statut,Cadre,De 45 à 54 ans,9044
2011,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,12
2011,Agents contractuels,Exécution roulant conduite,55 ans et plus,1
2011,Agents contractuels,Maîtrise,De 18 à 24 ans,170
2016,Agents au statut,Exécution roulant trains,De 25 à 34 ans,1779
2015,Agents contractuels,Exécution sédentaires,55 ans et plus,590
2016,Agents contractuels,Maîtrise,De 35 à 44 ans,1444
2016,Agents contractuels,Maîtrise,De 45 à 54 ans,912
2017,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,1096
2010,Agents au statut,Exécution roulant conduite,De 45 à 49 ans,2898
2010,Agents au statut,Exécution sédentaires,55 ans et plus,1865
2010,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,598
2012,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,75
2017,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,480
2017,Agents au statut,Exécution sédentaires,De 45 à 54 ans,6878
2017,Agents contractuels,Cadre,De 45 à 54 ans,1449
2014,Agents au statut,Maîtrise,Moins de 18 ans,0
2016,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
