,date,prix_courant en MD: Valeurs ajoutees du secteur Activites de services marchands,prix_courant en MD: Valeurs ajoutees du secteur Activites marchands,prix_courant en MD: Valeurs ajoutees du secteur Agriculture et peche,prix_courant en MD: Valeurs ajoutees du secteur Consommation intermediaire non ventilee en service financiers (en -),prix_courant en MD: Valeurs ajoutees du secteur Industries manufacturieres,prix_courant en MD: Valeurs ajoutees du secteur Industries non manufacturieres,prix_courant en MD: Valeurs ajoutees du secteur Services de l'Administration publique,prix_courant en MD: Valeurs ajoutees du secteur Services domestiques,prix_courant en MD: Valeurs ajoutees du secteur Services fournis par les organisations associatives,prix_courant en MD: Total des valeurs ajoutees,prix_courant en MD: PIB (aux prix du marche),prix_courant en MD: Impots indirects nets de subventions
1,2000-01-01,"2747,78","5179,99","717,54","-125,52","1103,13","737,06","1049,99","23,32","11,41","6264,71","7123,34","858,63"
2,2000-04-01,"2764,66","5282,33","721,61","-126,49","1169,96","752,59","1067,75","23,35","11,41","6384,84","7240,5","855,65"
3,2000-07-01,"2813,15","5455,76","745,07","-129,28","1244,06","782,77","1087,67","23,46","11,43","6578,32","7436,88","858,55"
4,2000-10-01,"2884,21","5612,42","760,98","-133,31","1283,45","817,09","1110,39","23,66","11,45","6757,92","7632,69","874,76"
5,2001-01-01,"2998,82","5716,6","749,75","-135,49","1323,91","779,62","1123,77","23,94","11,48","6875,8","7797,18","921,38"
6,2001-04-01,"3065,12","5747,43","750,41","-138,16","1284,38","785,69","1149,12","24,3","11,49","6932,34","7870,61","938,27"
7,2018-01-01,"10343,83","18500,87","2535,06","-396,99","4026,96","1992,01","4837,52","93,89","32,17","23464,45","25571,01","2106,57"
8,2016-07-01,"9165,94","16287,51","2078,07","-324,98","3305,2","2063,29","4433,06","77,56","26,63","20824,76","22585,66","1760,9"
9,2016-10-01,"9267,62","16459,91","2078,23","-305,03","3321,34","2097,75","4274,87","76,51","28,07","20839,36","22650,25","1810,89"
10,2017-01-01,"9321,8","16681,11","2166,54","-326,15","3569,87","1949,06","4832,69","82,32","28,53","21624,64","23504,25","1879,61"
11,2017-04-01,"9668,04","17272,93","2204,03","-344,18","3677,34","2067,7","4690,38","84,76","29,01","22077,09","24023,63","1946,54"
12,2017-07-01,"10094,21","17639,26","2228,26","-394,41","3634,8","2076,39","4801,37","84,9","29,25","22554,78","24471,37","1916,59"
13,2017-10-01,"10254,77","17935,7","2215,39","-388,81","3681,31","2173,04","4643,91","84,58","30,6","22694,78","24661,58","1966,8"
14,2015-01-01,"8245,54","15500,67","1990,68","-319,75","3383,88","2200,32","3741,37","72,76","25,39","19340,2","20840,28","1500,08"
15,2015-04-01,"8370,46","15625,64","2034,44","-304,86","3284,62","2240,97","3715,16","75,23","25,83","19441,87","21005,9","1564,04"
16,2015-07-01,"8421,25","15715,64","2081,88","-324,6","3262,77","2274,34","3835,32","75,68","26,04","19652,68","21153,33","1500,64"
17,2015-10-01,"8515,63","15691,99","2068,78","-313,2","3259,02","2161,76","4026,73","74,35","27,76","19820,83","21378,91","1558,07"
18,2016-01-01,8664,"15812,9",1999,"-294,9","3421,5","2023,3","4340,3","74,9","26,1","20254,2","21989,5","1735,3"
19,2016-04-01,"8862,04","16112,16","2034,87","-287,39","3435,8","2066,85","4330,07","77,32","26,49","20546,04","22355,26","1809,22"
20,2013-07-01,"7847,08","14712,73","1712,07","-269,21","2952,31","2470,48","3280,79","63,76","21,95","18079,23","18952,46","873,23"
21,2013-10-01,"7985,96","14687,82","1698,55","-296,18","3007,56","2291,95","3427,34","62,8","22,72","18200,68","19282,16","1081,49"
22,2014-01-01,"7829,59","14771,53","1765,51","-301,66","3133,36","2344,74","3439,5","65,77","22,89","18299,68","19664,29","1364,61"
23,2014-04-01,"8032,57","15037,3","1818,36","-275,32","3155,81","2305,88","3417,38","67,82","23,47","18545,98","19988,88","1442,89"
24,2014-07-01,"8237,71","15374,45","1853,53","-295,6","3133,82",2445,"3557,55","68,18","23,88","19024,07","20429,05","1404,98"
25,2014-10-01,"8444,34","15441,91","1839,8","-339,61","3182,41","2314,98","3745,87","68,02","24,76","19280,57","20733,78","1453,22"
26,2012-01-01,"6722,82","13120,1","1542,12","-243,93","2857,57","2241,52","2884,57","56,95","19,46","16081,09","17012,03","930,94"
27,2012-04-01,"7037,14","13519,23","1590,95","-248,13","2788,2","2351,08","2881,79","59,03","19,97","16480,02","17309,75","829,73"
28,2012-07-01,"7411,58","14054,85","1620,87","-264,72","2873,71","2413,41","3002,79","59,5","20,39","17137,54","17884,25","746,71"
29,2012-10-01,"7445,06","14125,31","1637,26","-285,02","2909,63","2418,39","3136,54","59,83","20,97","17342,65","18148,47","805,82"
30,2013-01-01,"7351,98","14108,46","1634,14","-261,86","3007,34","2376,86","3172,8","61,83","20,86","17363,94","18258,72","894,78"
31,2013-04-01,"7611,88","14539,3","1690,85","-250,54","2987,2","2499,92","3154,07","63,61","21,47","17778,45","18658,05","879,61"
32,2010-07-01,"6564,61","12218,21","1211,52","-209,29","2589,17","2062,21","2406,08","49,54","17,1","14690,93","15959,12","1268,19"
33,2010-10-01,"6595,63","12282,82","1197,6","-210,47","2685,35","2014,72","2474,31","50,54","17,57","14825,24","15962,43","1137,18"
34,2011-01-01,"6246,63","11926,2","1345,24","-200,42","2513,63","2021,13","2561,82","51,56","18,16","14557,74","15550,35","992,61"
35,2011-04-01,"6563,75","12572,8","1376,92","-204,42","2726,5","2110,06","2605,46","52,55","18,62","15249,43","16126,18","876,75"
36,2011-07-01,"6617,49","12699,9","1386,89","-211,41","2708,74","2198,18","2723,81","53,56","19,14","15496,41","16259,44","763,03"
37,2011-10-01,"6800,53","12882,1","1395,15","-258,35","2758,64","2186,13","2817,2","54,64","19,69","15773,62","16556,24","782,62"
38,2009-01-01,"5732,76","10789,76","1213,97","-186,32","2478,94","1550,41","2123,95","44,4","15,54","12973,66","14175,97","1202,31"
39,2009-04-01,"5916,21","10937,05","1240,22","-186,84","2433,01","1534,44","2173,8","44,96","15,74","13171,55","14448,1","1276,55"
40,2009-07-01,"6033,87",11316,"1247,79","-191,72","2500,6","1725,46","2201,94","45,69","15,95","13579,58","14908,15","1328,57"
41,2009-10-01,"6159,96","11454,09","1260,11","-196,93","2525,55","1705,39",2276,"46,56","16,16","13792,81","15144,98","1352,17"
42,2010-01-01,"6324,4","11724,14","1152,31","-197,78","2604,66","1840,55","2323,66","47,57","16,41","14111,79","15479,63","1367,84"
43,2010-04-01,"6431,06","11891,52","1189,48","-204,66","2542,63","1933,02","2355,35","48,55","16,72","14312,14","15653,33","1341,19"
44,2007-07-01,"5108,79","9742,96","1069,24","-195,82","2129,99","1630,77","1857,24","39,48","14,52","11654,2","12652,77","998,57"
45,2007-10-01,"5298,12","10069,87","1108,3","-204,39","2285,92","1581,92",1887,"40,42","14,67","12011,95","12990,55","978,6"
46,2008-01-01,"5407,42","10467,38","1062,37","-199,32","2523,69","1673,22","1922,43","41,65","14,82","12446,27","13389,72","943,45"
47,2008-04-01,"5534,44","10816,98","1100,95","-204,1","2526,63","1859,05","1982,11","42,67","14,98","12856,74","13799,35","942,61"
48,2008-07-01,"5632,16","11035,27","1103,45","-204,74","2463,41","2040,99","1952,27","43,5","15,16","13046,19","14024,97","978,78"
49,2008-10-01,"5697,88","10860,38","1071,43","-205,04","2512,07","1784,04","2081,48","44,09","15,34","13001,3","14059,16","1057,86"
50,2006-01-01,"4561,89","8456,83","1055,51","-175,9","1806,09","1209,24","1668,52","36,71","13,63","10175,69","11168,26","992,56"
51,2006-04-01,"4675,73","8609,76","1057,92","-190,27","1824,94","1241,43","1721,48","37,38","13,8","10382,42","11365,41","982,98"
52,2006-07-01,"4748,47","8793,13","1074,74","-198,53","1858,84","1309,61","1732,29","37,89","13,96","10577,26","11557,55","980,29"
53,2006-10-01,"4840,31","8901,69","1058,33","-185,5","1901,94","1286,62","1731,8","38,23","14,1","10685,82","11664,99","979,16"
54,2007-01-01,"4945,38","9143,21","1058,78","-186,73","1967,1","1358,68","1778,14","38,39","14,24","10973,98","11968,97","994,98"
55,2007-04-01,"5025,31","9369,95","1072,98","-188,96","2014,2","1446,43","1824,52","38,81","14,38","11247,66","12252,21","1004,54"
56,2004-07-01,"3954,56","7320,25","985,7","-132,61","1534,06","978,54","1494,3","32,45",13,"8860,01","9841,69","981,68"
57,2004-10-01,"4020,63","7438,06","988,51","-135,3","1545,33","1018,88","1525,74","33,06","13,06","9009,91","9999,64","989,72"
58,2005-01-01,"4070,76","7440,05","902,71","-134,28","1567,97","1032,9","1560,34","33,68","13,12","9047,2","10035,45","988,25"
59,2005-04-01,"4206,29","7742,14","947,05","-139,26","1600,6","1127,46","1575,37","34,36","13,21","9365,08","10354,71","989,63"
60,2005-07-01,"4309,08","7960,88","965,91","-148,74","1646,64","1187,98","1608,87","35,09","13,31","9618,15","10609,49","991,34"
61,2005-10-01,"4437,77","8207,42","1023,83","-158,63","1738,6","1165,85","1625,02","35,87","13,46","9881,77","10871,36","989,58"
62,2003-01-01,"3408,91","6271,38","744,91","-113,16","1374,59","856,12","1309,75","28,74","12,32","7622,19","8541,4","919,22"
63,2003-04-01,"3495,96","6427,6","788,46","-113,01","1428,38","827,8","1333,34","29,5","12,62","7803,06","8729,57","926,52"
64,2003-07-01,"3604,38","6601,75","851,56","-113,6","1429,38","830,03","1366,75","30,18","12,83","8011,5","8940,58","929,08"
65,2003-10-01,"3698,85","6779,07","901,78","-117,14","1455,54","840,04","1400,67","30,78","12,93","8223,46","9161,64","938,18"
66,2004-01-01,"3776,14","6976,26","917,7","-123,67","1524,37","881,72","1426,41","31,32","12,9","8446,88","9408,5","961,61"
67,2004-04-01,"3832,06","7109,63","954,08","-128,42","1523,73","928,17","1462,45","31,87","12,94","8616,89","9588,68","971,79"
68,2001-07-01,"3153,4","5872,74","746,82","-137,18","1322,06","787,64","1174,68","24,73","11,48","7083,62","8027,16","943,53"
